,uname,message,like,oid,label
166089444304,李公子Fb1,玻利瓦尔是犹太人,0,609351579,0
158283132816,sHgApE,有人急了，但我不说是谁,0,609351579,0
158247373872,无忧仙尊,我觉得有罪，但不是整个民族所有人都有罪,0,609351579,0
157588042832,Reinhart_英格海姆,犹太人有罪论对于过去冷战前的犹太人来说是部分错误的但对于冷战后的大部分犹太群体来说是绝对正确且适用的，这个时代我们几乎看不到居里夫人和爱因斯坦那样为人类着想的犹太人，现在能看到的要么是用六芒星+反向万字旗在中东横踢竖卷的犹太法西斯政权，要么是高坐在美国国会的犹太大资本，现在这个时代对部分犹太群体的怜悯就等于对第三世界国家的羞辱与践踏,0,609351579,0
156402828656,秋风_树叶,说白了，不要反对群体，去反对个体。反对极端民族主义分子，不管他是不是犹太人；支持正义的劳动者，不管他是不是犹太人。,0,609351579,0
156297731200,账号已注销,"何为极端？连手都没动，在网络上言语几句就叫极端？那么跑到别人家杀人放火算什么？
和那种东西比起来网络上任何言论都是温和的。[doge]",1,609351579,0
155837209856,魏速佳,支持,0,609351579,0
155796423408,爱玩迷你的将军捏,快手抖音某些人在日本的视频说理智爱国在犹太人的视频说一个面包50万[微笑],1,609351579,0
155605908976,DJXjks,正确的[热词表情_世萌双冠],0,609351579,0
155547180688,一块稽岩,把某个阶级的错误强加到整个民族身上，不可取,3,609351579,0
155400006080,能饮一杯无23333,立场完全有问题，完全是站在团结犹太人的立场上思考问题、找论据。屁股都是歪的。我们的立场应该是反对犹太人，记住这一点。,2,609351579,0
155092924672,闪电xxx,预警机,0,609351579,0
154894479392,LFranKy,去把乐山大佛请下来你坐上去呗[星星眼],3,609351579,0
154828527712,国漫星空下的独眼兔,你眼界可真宽,2,609351579,0
154752733024,账号已注销,日本侵华中，无数日本民众对战争大力支持，甚至去国外组团卖淫为战争筹措军费，就因为他们是被洗脑了，所以他们也是受害者？,3,609351579,0
154418758992,WZ-111G-FT,很难摘下的有色眼镜，毕竟这都是刻板印象了,1,609351579,0
154157713072,蒸汽小号手42k,【一本致命的书【阴谋论与反犹主义01】-哔哩哔哩】 https://b23.tv/arQpEfU,1,609351579,0
154157697600,蒸汽小号手42k,【现代反犹主义: 仇恨【阴谋论与反犹主义02】-哔哩哔哩】 https://b23.tv/k2pNhO7,1,609351579,0
154157549568,蒸汽小号手42k,up我给你推荐一下kk-tube的视频，他系统详细的讲了从启蒙运动时期到现代反犹主义是怎么出现到极端的，我推荐你去看看,1,609351579,0
153990912592,Dr陆星海,犹太人与犹太民粹份子要分开，红军要和白军区别开,0,609351579,0
152791822768,---泥给路达哟---,与其反对犹太人有罪论，不如多深入分析一下那些疯狂支持犹太人有罪论的人的心理吧[吃瓜],26,609351579,0
152791569392,---泥给路达哟---,这都完结了看看评论弹幕还有一堆人还在极端得反对，张口就是经典名词，互联网人真多[吃瓜][点赞],97,609351579,0
152762385232,ZZZZHHJNN,你要想全世界的劳动者都是一家，那你得先统一全球。这跟科学无国界。一样蠢。,4,609351579,0
152741817232,兔子家的小盆友,终于完结了，能出这么多期的视频，也是一种悲哀啊！,1,609351579,0
152642049280,kgb00018,终于完结了，可以好好聊聊锡安主义的问题了吧[妙啊],2,609351579,0
152640613600,纯度有用吗,主要部分犹太人长时间以来不干人事的太多了,1,609351579,0
152557211440,三笠ぅ,什么时候贸易战结束，大家都不反了,0,609351579,0
152534712768,穹上白玉京,理是这个理，但是千万不要认清了大问题，就当小问题不存在,0,609351579,0
152511605200,更丰富炒粉干和,希望你自己能做到，别到时候粉丝量一上去就带货[doge],1,609351579,0
152458723808,空无生有道,万物平等，一切都球同。这是天道，蛇鼠各有道,0,609351579,0
152457539120,_该__昵__称_已_存在_,https://b23.tv/ZZ3JA6P,3,609351579,0
152454292176,LFranKy,不发个反对巴勒斯坦群体有罪论我可不认可[吃瓜],25,609351579,0
152437240656,殷若雪27未成年,理性会很累 但会很真实,1,609351579,0
152382439440,烤饅頭,支持！,5,609351579,0
152367338576,Tisora,"反对的不是犹太民族，反对的是极端犹太复国主义者
不要拿诸如“史里淘金”这种幼稚且不辩证的话来为你那极民的价值观辩护，巴勒斯坦有在与以色列政府抗争的犹太人，以色列有拉宾这种推动中东和平化进程的领袖，有些人看不见他们的贡献，反而觉得世界上所有犹太人都是锡安主义者，这种做法和20世纪3，40年代的德国有什么不同",185,609351579,0
152358143776,假如我年少无知有体味,看了你那么多期，我还是反犹[笑哭],20,609351579,0
152353274720,PLOTES-AlRCROSS,首先对于那些疯狂支持犹太人有罪论的人我想说作者并没有支持以色列，他是站在一个中立角度来分析的，所以别在弹幕里发一些搞笑内容了，这里再说一遍河豚计划是假的，不是真的这个只是营销号编造出来的一个虚假计划,27,609351579,0
152325184448,高舉紅旗向前進,支持你！终于有了正确的史观了,0,609351579,0
152254593312,信仰红色同志,支持！,2,609351579,0
152249345904,廷塔杰尔的亚瑟,支持up[给心心]现在能这么理性看待问题的人太少了,0,609351579,0
168907689168,_恶之画_,红细胞对白细胞说:癌细胞也是身体的一部分哦[脱单doge],1,841124054,1
168905718992,_恶之画_,"占美国人口的11.3％
占国家雇员总数的1.4％
占囚犯总数的48％
占团伙和犯罪集团的数量的53％
占艾滋病患者总数的65％
占淋病患者总数的69％
占梅毒患者总数的57％
占领取福利总数的52％",0,841124054,1
168829803648,正经大将军,反正种族主义不可取。,5,841124054,1
168049058848,网络记者A,多少沾点,1,841124054,1
167652817616,伟大的Jurani,黑人哪里种族入侵了，评论区是真的反智，说在非洲黑人行径恶劣，你的国家要是也那个样子，你比他们好不了多少,1,841124054,1
166807596688,山可移-海可填,看来几年前就有了，现在只是换了个说法,1,841124054,1
166393100016,羁绊傻喵,[再见],1,841124054,1
166194044768,A-铅笔,黑人的肤色会让我们本来就在日益减少的种族凝聚力在表层彻底消失，我不希望未来的华人孩子看到黄皮肤的祖先时问为什么他们是黄皮肤的。我并不认为黑人天生低劣，只是别来中国定居播种就好，我也绝非种族主义，一切都只是为了保全身为亚洲华人最有辨识度的肤色，不至于以后华人从亚洲起源变成非洲起源。当黑人和华黑混血多余本土华人时，攻守之势异也[藏狐],5,841124054,1
166052556032,涩年糕,[奥比岛_点赞],5,841124054,1
160272360176,用戶1101,"你：天哪我怎么可以陷入种族主义呢？这是天大的错误，为保持思想的纯粹，灵魂的纯洁，我不能走上这样的歪路
黑人：可爱，绰了",6,841124054,1
159630825712,专r业u飞d行e员,大预言家,4,841124054,1
155206159888,赳赳老隋,有悖于进化论，平等归平等，但强行一样是不是有些着急了。难不成反对歧视黑哥就是要强行捏造虚假。,1,841124054,1
137512087872,蜡烛海湾--,问:黑人对人类科学进步和提高犯罪率哪个贡献更大？,7,841124054,1
137327567184,阿姨黄羊,很喜欢这个评论区,1,841124054,1
122890769840,督军的战斧,说得好 但我还是认为黑人的小确幸在种植园里,0,841124054,1
122484685168,蓑笠翁等鱼,哈哈，又一个被普世价值和政治正确洗脑的。如果你是一个世界知名的政客打政治正确牌还可以理解他们只是打牌而已但并不信这个。如果你还信这东西那只能说明你要么是傻要么是蠢又或者两者都是。,4,841124054,1
109646958336,罗伯特_B_韦德,评论区好的呐粹,11,841124054,1
152032528832,月之庭骑士团,顶顶,1,609351579,0
152031452816,格黑娜学院,支持(精德也认同),9,609351579,0
152028520400,比留間弦人,支持,1,609351579,0
152028440448,红十字工农协会,[打call][打call][打call],1,609351579,0
152028407488,Kyouco,等人,0,609351579,0
152028297104,鸟军海马斯队长,支持up[打call][打call][打call]不能把部分人做的坏事强加到整个民族身上[打call][打call][打call],286,609351579,0
152028247456,李大爺好帥,小澤啊，你聽到了嗎，舉旭日旗是不對滴[doge],70,609351579,0
3074259572,我的钱钱钱钱钱,抢劫暴动的黑人群体中确实有少部分好人,1,841124054,1
3074257506,シヤウホウ,当z b j看到评论区，心里一阵狂喜,41,841124054,1
